source,dataset,origin_country,destination_country,year,period,measure_type,value,total_migrants,male_migrants,female_migrants,analysis_question
undesa,undesa_destinations,Cameroon,Zambia,2015,pre_covid,stock,214.0,214.0,114.0,100.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Chad,2015,pre_covid,stock,30702.0,30702.0,13908.0,16794.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Congo,2015,pre_covid,stock,11300.0,11300.0,6727.0,4573.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Equatorial Guinea,2015,pre_covid,stock,798.0,798.0,535.0,263.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Gabon,2015,pre_covid,stock,46269.0,46269.0,26905.0,19364.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Egypt,2015,pre_covid,stock,42.0,42.0,22.0,20.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Tunisia,2015,pre_covid,stock,715.0,715.0,369.0,346.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Namibia,2015,pre_covid,stock,115.0,115.0,95.0,20.0,Q1_destinations
undesa,undesa_destinations,Cameroon,South Africa,2015,pre_covid,stock,5747.0,5747.0,3815.0,1932.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Ghana,2015,pre_covid,stock,116.0,116.0,77.0,39.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Guinea,2015,pre_covid,stock,196.0,196.0,142.0,54.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Mali,2015,pre_covid,stock,1778.0,1778.0,907.0,871.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Mauritania,2015,pre_covid,stock,392.0,392.0,256.0,136.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Niger,2015,pre_covid,stock,417.0,417.0,183.0,234.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Nigeria,2015,pre_covid,stock,26893.0,26893.0,14755.0,12138.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Senegal,2015,pre_covid,stock,1014.0,1014.0,403.0,611.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Togo,2015,pre_covid,stock,697.0,697.0,446.0,251.0,Q1_destinations
undesa,undesa_destinations,Cameroon,China,2015,pre_covid,stock,988.0,988.0,548.0,440.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Japan,2015,pre_covid,stock,525.0,525.0,395.0,130.0,Q1_destinations
undesa,undesa_destinations,Cameroon,India,2015,pre_covid,stock,25.0,25.0,14.0,11.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Cyprus,2015,pre_covid,stock,54.0,54.0,30.0,24.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Bulgaria,2015,pre_covid,stock,13.0,13.0,11.0,2.0,Q1_destinations
undesa,undesa_destinations,Cameroon,Hungary,2015,pre_covid,stock,249.0,249.0,190.0,59.0,Q1_destinations
