source,dataset,origin_country,destination_country,year,period,reason,sub_reason,measure_type,value,analysis_question
eurostat,eurostat_first_permits,Cameroon,Belgium,2015,pre_covid,family,not_applicable,permit,695.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Bulgaria,2015,pre_covid,family,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Czechia,2015,pre_covid,family,not_applicable,permit,15.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Denmark,2015,pre_covid,family,not_applicable,permit,55.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Germany,2015,pre_covid,family,not_applicable,permit,748.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Estonia,2015,pre_covid,family,not_applicable,permit,2.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Ireland,2015,pre_covid,family,not_applicable,permit,8.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Greece,2015,pre_covid,family,not_applicable,permit,4.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Spain,2015,pre_covid,family,not_applicable,permit,181.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,France,2015,pre_covid,family,not_applicable,permit,2196.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Croatia,2015,pre_covid,family,not_applicable,permit,1.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Italy,2015,pre_covid,family,not_applicable,permit,330.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Cyprus,2015,pre_covid,family,not_applicable,permit,10.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Latvia,2015,pre_covid,family,not_applicable,permit,2.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Lithuania,2015,pre_covid,family,not_applicable,permit,0.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Luxembourg,2015,pre_covid,family,not_applicable,permit,65.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Hungary,2015,pre_covid,family,not_applicable,permit,26.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Malta,2015,pre_covid,family,not_applicable,permit,1.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Netherlands,2015,pre_covid,family,not_applicable,permit,36.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Austria,2015,pre_covid,family,not_applicable,permit,19.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Poland,2015,pre_covid,family,not_applicable,permit,2.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Portugal,2015,pre_covid,family,not_applicable,permit,16.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Romania,2015,pre_covid,family,not_applicable,permit,9.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Slovenia,2015,pre_covid,family,not_applicable,permit,1.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Slovakia,2015,pre_covid,family,not_applicable,permit,1.0,Q2_entry_reasons
eurostat,eurostat_first_permits,Cameroon,Finland,2015,pre_covid,family,not_applicable,permit,68.0,Q2_entry_reasons
