source,dataset,origin_country,destination_country,year,measure_type,value,analysis_question
eurostat,eurostat_long_term_residents,Cameroon,Belgium,2015,long_term_resident,977.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Bulgaria,2015,long_term_resident,6.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Czechia,2015,long_term_resident,53.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Denmark,2015,long_term_resident,121.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Germany,2015,long_term_resident,80.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Estonia,2015,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Ireland,2015,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Greece,2015,long_term_resident,15.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Spain,2015,long_term_resident,2176.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,France,2015,long_term_resident,28272.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Croatia,2015,long_term_resident,7.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Italy,2015,long_term_resident,7694.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Cyprus,2015,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Latvia,2015,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Lithuania,2015,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Luxembourg,2015,long_term_resident,104.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Hungary,2015,long_term_resident,4.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Malta,2015,long_term_resident,1.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Netherlands,2015,long_term_resident,70.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Austria,2015,long_term_resident,59.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Poland,2015,long_term_resident,123.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Portugal,2015,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Romania,2015,long_term_resident,5.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Slovenia,2015,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Slovakia,2015,long_term_resident,8.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Finland,2015,long_term_resident,193.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Sweden,2015,long_term_resident,555.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Iceland,2015,long_term_resident,2.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Liechtenstein,2015,long_term_resident,2.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Norway,2015,long_term_resident,79.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Switzerland,2015,long_term_resident,2124.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,United Kingdom,2015,long_term_resident,4847.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Serbia,2015,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Belgium,2016,long_term_resident,2943.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Bulgaria,2016,long_term_resident,6.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Czechia,2016,long_term_resident,56.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Denmark,2016,long_term_resident,109.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Germany,2016,long_term_resident,2456.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Estonia,2016,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Ireland,2016,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Greece,2016,long_term_resident,17.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Spain,2016,long_term_resident,4148.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,France,2016,long_term_resident,29220.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Croatia,2016,long_term_resident,7.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Italy,2016,long_term_resident,7333.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Cyprus,2016,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Latvia,2016,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Lithuania,2016,long_term_resident,0.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Luxembourg,2016,long_term_resident,127.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Hungary,2016,long_term_resident,7.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Malta,2016,long_term_resident,1.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Netherlands,2016,long_term_resident,75.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Austria,2016,long_term_resident,79.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Poland,2016,long_term_resident,121.0,Q3_post_arrival_trajectories
eurostat,eurostat_long_term_residents,Cameroon,Portugal,2016,long_term_resident,0.0,Q3_post_arrival_trajectories
