destination_country,year,permits,source,nature
Belgium,2015,738,eurostat,citizenship_acquisition
Bulgaria,2015,0,eurostat,citizenship_acquisition
Czechia,2015,0,eurostat,citizenship_acquisition
Denmark,2015,14,eurostat,citizenship_acquisition
Germany,2015,1081,eurostat,citizenship_acquisition
Estonia,2015,0,eurostat,citizenship_acquisition
Ireland,2015,79,eurostat,citizenship_acquisition
Greece,2015,0,eurostat,citizenship_acquisition
Spain,2015,135,eurostat,citizenship_acquisition
France,2015,3125,eurostat,citizenship_acquisition
Croatia,2015,3,eurostat,citizenship_acquisition
Italy,2015,521,eurostat,citizenship_acquisition
Cyprus,2015,1,eurostat,citizenship_acquisition
Latvia,2015,0,eurostat,citizenship_acquisition
Lithuania,2015,0,eurostat,citizenship_acquisition
Luxembourg,2015,6,eurostat,citizenship_acquisition
Hungary,2015,2,eurostat,citizenship_acquisition
Malta,2015,0,eurostat,citizenship_acquisition
Netherlands,2015,95,eurostat,citizenship_acquisition
Austria,2015,32,eurostat,citizenship_acquisition
Poland,2015,5,eurostat,citizenship_acquisition
Portugal,2015,5,eurostat,citizenship_acquisition
Romania,2015,0,eurostat,citizenship_acquisition
Slovenia,2015,0,eurostat,citizenship_acquisition
Slovakia,2015,0,eurostat,citizenship_acquisition
Finland,2015,48,eurostat,citizenship_acquisition
Sweden,2015,93,eurostat,citizenship_acquisition
Iceland,2015,1,eurostat,citizenship_acquisition
Liechtenstein,2015,0,eurostat,citizenship_acquisition
Norway,2015,27,eurostat,citizenship_acquisition
Switzerland,2015,156,eurostat,citizenship_acquisition
United Kingdom,2015,471,eurostat,citizenship_acquisition
North Macedonia,2015,0,eurostat,citizenship_acquisition
Georgia,2015,0,eurostat,citizenship_acquisition
Albania,2015,0,eurostat,citizenship_acquisition
Türkiye,2015,0,eurostat,citizenship_acquisition
Ukraine,2015,0,eurostat,citizenship_acquisition
Belarus,2015,0,eurostat,citizenship_acquisition
Russia,2015,0,eurostat,citizenship_acquisition
Armenia,2015,0,eurostat,citizenship_acquisition
Belgium,2016,845,eurostat,citizenship_acquisition
Bulgaria,2016,0,eurostat,citizenship_acquisition
Czechia,2016,0,eurostat,citizenship_acquisition
Denmark,2016,51,eurostat,citizenship_acquisition
Germany,2016,920,eurostat,citizenship_acquisition
Estonia,2016,0,eurostat,citizenship_acquisition
Ireland,2016,43,eurostat,citizenship_acquisition
Greece,2016,3,eurostat,citizenship_acquisition
Spain,2016,196,eurostat,citizenship_acquisition
France,2016,3377,eurostat,citizenship_acquisition
Croatia,2016,1,eurostat,citizenship_acquisition
Italy,2016,658,eurostat,citizenship_acquisition
Cyprus,2016,1,eurostat,citizenship_acquisition
Latvia,2016,0,eurostat,citizenship_acquisition
Lithuania,2016,0,eurostat,citizenship_acquisition
Luxembourg,2016,18,eurostat,citizenship_acquisition
Hungary,2016,7,eurostat,citizenship_acquisition
Malta,2016,0,eurostat,citizenship_acquisition
Netherlands,2016,88,eurostat,citizenship_acquisition
Austria,2016,35,eurostat,citizenship_acquisition
Poland,2016,6,eurostat,citizenship_acquisition
Portugal,2016,12,eurostat,citizenship_acquisition
Romania,2016,0,eurostat,citizenship_acquisition
Slovenia,2016,0,eurostat,citizenship_acquisition
Slovakia,2016,0,eurostat,citizenship_acquisition
Finland,2016,67,eurostat,citizenship_acquisition
Sweden,2016,123,eurostat,citizenship_acquisition
Iceland,2016,2,eurostat,citizenship_acquisition
Liechtenstein,2016,0,eurostat,citizenship_acquisition
Norway,2016,38,eurostat,citizenship_acquisition
Switzerland,2016,227,eurostat,citizenship_acquisition
United Kingdom,2016,508,eurostat,citizenship_acquisition
North Macedonia,2016,0,eurostat,citizenship_acquisition
Georgia,2016,0,eurostat,citizenship_acquisition
Albania,2016,0,eurostat,citizenship_acquisition
Türkiye,2016,0,eurostat,citizenship_acquisition
Ukraine,2016,0,eurostat,citizenship_acquisition
Belarus,2016,0,eurostat,citizenship_acquisition
Russia,2016,0,eurostat,citizenship_acquisition
Armenia,2016,0,eurostat,citizenship_acquisition
Belgium,2017,872,eurostat,citizenship_acquisition
Bulgaria,2017,1,eurostat,citizenship_acquisition
Czechia,2017,2,eurostat,citizenship_acquisition
Denmark,2017,14,eurostat,citizenship_acquisition
Germany,2017,953,eurostat,citizenship_acquisition
Estonia,2017,0,eurostat,citizenship_acquisition
Ireland,2017,38,eurostat,citizenship_acquisition
Greece,2017,3,eurostat,citizenship_acquisition
Spain,2017,83,eurostat,citizenship_acquisition
France,2017,3137,eurostat,citizenship_acquisition
Croatia,2017,0,eurostat,citizenship_acquisition
Italy,2017,488,eurostat,citizenship_acquisition
Cyprus,2017,2,eurostat,citizenship_acquisition
Latvia,2017,0,eurostat,citizenship_acquisition
Lithuania,2017,0,eurostat,citizenship_acquisition
Luxembourg,2017,20,eurostat,citizenship_acquisition
Hungary,2017,1,eurostat,citizenship_acquisition
Malta,2017,1,eurostat,citizenship_acquisition
Netherlands,2017,64,eurostat,citizenship_acquisition
Austria,2017,24,eurostat,citizenship_acquisition
Poland,2017,10,eurostat,citizenship_acquisition
Portugal,2017,5,eurostat,citizenship_acquisition
Romania,2017,1,eurostat,citizenship_acquisition
Slovenia,2017,0,eurostat,citizenship_acquisition
Slovakia,2017,1,eurostat,citizenship_acquisition
Finland,2017,82,eurostat,citizenship_acquisition
Sweden,2017,145,eurostat,citizenship_acquisition
Iceland,2017,0,eurostat,citizenship_acquisition
Liechtenstein,2017,1,eurostat,citizenship_acquisition
Norway,2017,39,eurostat,citizenship_acquisition
Switzerland,2017,211,eurostat,citizenship_acquisition
United Kingdom,2017,414,eurostat,citizenship_acquisition
North Macedonia,2017,0,eurostat,citizenship_acquisition
Georgia,2017,0,eurostat,citizenship_acquisition
Albania,2017,0,eurostat,citizenship_acquisition
Türkiye,2017,0,eurostat,citizenship_acquisition
Ukraine,2017,0,eurostat,citizenship_acquisition
Belarus,2017,0,eurostat,citizenship_acquisition
Russia,2017,0,eurostat,citizenship_acquisition
Armenia,2017,0,eurostat,citizenship_acquisition
Belgium,2018,955,eurostat,citizenship_acquisition
Bulgaria,2018,0,eurostat,citizenship_acquisition
Czechia,2018,0,eurostat,citizenship_acquisition
