destination_country,entry_reasons,year,permits,source
Belgique,famille,2015,695,eurostat
Bulgarie,famille,2015,0,eurostat
Tchéquie,famille,2015,15,eurostat
Danemark,famille,2015,55,eurostat
Allemagne,famille,2015,748,eurostat
Estonie,famille,2015,2,eurostat
Irlande,famille,2015,8,eurostat
Grèce,famille,2015,4,eurostat
Espagne,famille,2015,181,eurostat
France,famille,2015,2196,eurostat
Croatie,famille,2015,1,eurostat
Italie,famille,2015,330,eurostat
Chypre,famille,2015,10,eurostat
Lettonie,famille,2015,2,eurostat
Lituanie,famille,2015,0,eurostat
Luxembourg,famille,2015,65,eurostat
Hongrie,famille,2015,26,eurostat
Malte,famille,2015,1,eurostat
Pays-Bas,famille,2015,36,eurostat
Autriche,famille,2015,19,eurostat
Pologne,famille,2015,2,eurostat
Portugal,famille,2015,16,eurostat
Roumanie,famille,2015,9,eurostat
Slovénie,famille,2015,1,eurostat
Slovaquie,famille,2015,1,eurostat
Finlande,famille,2015,68,eurostat
Suède,famille,2015,114,eurostat
Islande,famille,2015,0,eurostat
Liechtenstein,famille,2015,0,eurostat
Norvège,famille,2015,29,eurostat
Suisse,famille,2015,144,eurostat
United Kingdom,famille,2015,221,eurostat
Serbie,famille,2015,0,eurostat
Belgique,famille,2016,610,eurostat
Bulgarie,famille,2016,0,eurostat
Tchéquie,famille,2016,9,eurostat
Danemark,famille,2016,61,eurostat
Allemagne,famille,2016,686,eurostat
Estonie,famille,2016,1,eurostat
Irlande,famille,2016,11,eurostat
Grèce,famille,2016,3,eurostat
Espagne,famille,2016,180,eurostat
France,famille,2016,2088,eurostat
Croatie,famille,2016,1,eurostat
Italie,famille,2016,446,eurostat
Chypre,famille,2016,8,eurostat
Lettonie,famille,2016,1,eurostat
Lituanie,famille,2016,0,eurostat
Luxembourg,famille,2016,52,eurostat
Hongrie,famille,2016,33,eurostat
Malte,famille,2016,1,eurostat
Pays-Bas,famille,2016,35,eurostat
Autriche,famille,2016,22,eurostat
Pologne,famille,2016,2,eurostat
Portugal,famille,2016,11,eurostat
Roumanie,famille,2016,2,eurostat
Slovénie,famille,2016,0,eurostat
Slovaquie,famille,2016,0,eurostat
Finlande,famille,2016,69,eurostat
Suède,famille,2016,112,eurostat
Islande,famille,2016,1,eurostat
