destination_country,year,residents,source,nature
Belgium,2015,977,eurostat,long_term_resident
Bulgaria,2015,6,eurostat,long_term_resident
Czechia,2015,53,eurostat,long_term_resident
Denmark,2015,121,eurostat,long_term_resident
Germany,2015,80,eurostat,long_term_resident
Estonia,2015,0,eurostat,long_term_resident
Ireland,2015,0,eurostat,long_term_resident
Greece,2015,15,eurostat,long_term_resident
Spain,2015,2176,eurostat,long_term_resident
France,2015,28272,eurostat,long_term_resident
Croatia,2015,7,eurostat,long_term_resident
Italy,2015,7694,eurostat,long_term_resident
Cyprus,2015,0,eurostat,long_term_resident
Latvia,2015,0,eurostat,long_term_resident
Lithuania,2015,0,eurostat,long_term_resident
Luxembourg,2015,104,eurostat,long_term_resident
Hungary,2015,4,eurostat,long_term_resident
Malta,2015,1,eurostat,long_term_resident
Netherlands,2015,70,eurostat,long_term_resident
Austria,2015,59,eurostat,long_term_resident
Poland,2015,123,eurostat,long_term_resident
Portugal,2015,0,eurostat,long_term_resident
Romania,2015,5,eurostat,long_term_resident
Slovenia,2015,0,eurostat,long_term_resident
Slovakia,2015,8,eurostat,long_term_resident
Finland,2015,193,eurostat,long_term_resident
Sweden,2015,555,eurostat,long_term_resident
Iceland,2015,2,eurostat,long_term_resident
Liechtenstein,2015,2,eurostat,long_term_resident
Norway,2015,79,eurostat,long_term_resident
Switzerland,2015,2124,eurostat,long_term_resident
United Kingdom,2015,4847,eurostat,long_term_resident
Serbia,2015,0,eurostat,long_term_resident
Belgium,2016,2943,eurostat,long_term_resident
Bulgaria,2016,6,eurostat,long_term_resident
Czechia,2016,56,eurostat,long_term_resident
Denmark,2016,109,eurostat,long_term_resident
Germany,2016,2456,eurostat,long_term_resident
Estonia,2016,0,eurostat,long_term_resident
Ireland,2016,0,eurostat,long_term_resident
Greece,2016,17,eurostat,long_term_resident
Spain,2016,4148,eurostat,long_term_resident
France,2016,29220,eurostat,long_term_resident
Croatia,2016,7,eurostat,long_term_resident
Italy,2016,7333,eurostat,long_term_resident
