destination_country,year,value,source,nature
Australia,2015,26,oecd,inflow
Australia,2016,18,oecd,inflow
Australia,2017,11,oecd,inflow
Australia,2018,15,oecd,inflow
Australia,2019,15,oecd,inflow
Australia,2020,19,oecd,inflow
Australia,2021,25,oecd,inflow
Australia,2015,0,oecd,outflow
Australia,2016,0,oecd,outflow
Australia,2015,0,oecd,asylum_inflow
Australia,2016,18,oecd,asylum_inflow
Australia,2019,5,oecd,asylum_inflow
Australia,2020,5,oecd,asylum_inflow
Australia,2021,0,oecd,asylum_inflow
Austria,2015,93,oecd,inflow
Austria,2016,72,oecd,inflow
Austria,2017,85,oecd,inflow
Austria,2018,58,oecd,inflow
Austria,2019,41,oecd,inflow
Austria,2020,42,oecd,inflow
Austria,2021,55,oecd,inflow
Austria,2015,26,oecd,outflow
Austria,2016,40,oecd,outflow
Austria,2017,49,oecd,outflow
Austria,2018,55,oecd,outflow
Austria,2019,41,oecd,outflow
Austria,2020,23,oecd,outflow
Austria,2021,36,oecd,outflow
Austria,2015,0,oecd,asylum_inflow
Austria,2016,0,oecd,asylum_inflow
Austria,2017,60,oecd,asylum_inflow
Austria,2018,30,oecd,asylum_inflow
Austria,2019,30,oecd,asylum_inflow
Austria,2020,20,oecd,asylum_inflow
Austria,2021,30,oecd,asylum_inflow
Belgium,2015,1504,oecd,inflow
Belgium,2016,1611,oecd,inflow
Belgium,2017,1698,oecd,inflow
Belgium,2018,1754,oecd,inflow
Belgium,2019,1775,oecd,inflow
Belgium,2020,1735,oecd,inflow
Belgium,2021,2765,oecd,inflow
Belgium,2015,527,oecd,outflow
Belgium,2016,519,oecd,outflow
Belgium,2017,409,oecd,outflow
Belgium,2018,424,oecd,outflow
Belgium,2019,329,oecd,outflow
Belgium,2020,418,oecd,outflow
Belgium,2021,470,oecd,outflow
Belgium,2015,278,oecd,asylum_inflow
Belgium,2016,257,oecd,asylum_inflow
Belgium,2017,350,oecd,asylum_inflow
Belgium,2018,355,oecd,asylum_inflow
Belgium,2019,390,oecd,asylum_inflow
Belgium,2020,270,oecd,asylum_inflow
Belgium,2021,400,oecd,asylum_inflow
Canada,2015,2034,oecd,inflow
Canada,2016,2110,oecd,inflow
Canada,2017,2285,oecd,inflow
Canada,2018,2275,oecd,inflow
Canada,2019,2950,oecd,inflow
Canada,2020,1595,oecd,inflow
Canada,2021,2560,oecd,inflow
Canada,2015,210,oecd,asylum_inflow
Canada,2016,182,oecd,asylum_inflow
Canada,2017,245,oecd,asylum_inflow
Canada,2018,386,oecd,asylum_inflow
Canada,2019,407,oecd,asylum_inflow
Canada,2020,121,oecd,asylum_inflow
Canada,2021,126,oecd,asylum_inflow
Czechia,2015,8,oecd,inflow
Czechia,2016,5,oecd,inflow
Czechia,2015,6,oecd,outflow
Czechia,2016,4,oecd,outflow
Czechia,2017,5,oecd,outflow
Czechia,2018,7,oecd,outflow
Czechia,2019,7,oecd,outflow
Czechia,2020,4,oecd,outflow
Czechia,2021,3,oecd,outflow
Czechia,2015,0,oecd,asylum_inflow
Czechia,2016,4,oecd,asylum_inflow
Czechia,2017,5,oecd,asylum_inflow
Czechia,2018,0,oecd,asylum_inflow
Czechia,2019,0,oecd,asylum_inflow
Czechia,2020,0,oecd,asylum_inflow
Czechia,2021,0,oecd,asylum_inflow
Denmark,2015,88,oecd,inflow
Denmark,2016,87,oecd,inflow
Denmark,2017,71,oecd,inflow
Denmark,2018,57,oecd,inflow
Denmark,2019,46,oecd,inflow
Denmark,2020,47,oecd,inflow
Denmark,2021,54,oecd,inflow
Denmark,2015,54,oecd,outflow
Denmark,2016,56,oecd,outflow
Denmark,2017,71,oecd,outflow
Denmark,2018,52,oecd,outflow
Denmark,2019,59,oecd,outflow
Denmark,2020,31,oecd,outflow
Denmark,2021,35,oecd,outflow
Denmark,2015,0,oecd,asylum_inflow
Denmark,2016,11,oecd,asylum_inflow
Denmark,2017,15,oecd,asylum_inflow
Denmark,2018,10,oecd,asylum_inflow
Denmark,2019,20,oecd,asylum_inflow
Denmark,2020,5,oecd,asylum_inflow
Denmark,2021,5,oecd,asylum_inflow
Finland,2015,67,oecd,inflow
Finland,2016,112,oecd,inflow
Finland,2017,87,oecd,inflow
Finland,2018,64,oecd,inflow
Finland,2019,80,oecd,inflow
Finland,2020,111,oecd,inflow
Finland,2021,122,oecd,inflow
Finland,2015,4,oecd,outflow
Finland,2016,6,oecd,outflow
Finland,2017,4,oecd,outflow
Finland,2018,14,oecd,outflow
Finland,2019,12,oecd,outflow
Finland,2020,16,oecd,outflow
Finland,2021,7,oecd,outflow
Finland,2015,28,oecd,asylum_inflow
Finland,2016,86,oecd,asylum_inflow
Finland,2017,45,oecd,asylum_inflow
Finland,2018,55,oecd,asylum_inflow
Finland,2019,60,oecd,asylum_inflow
Finland,2020,25,oecd,asylum_inflow
Finland,2021,25,oecd,asylum_inflow
France,2015,3164,oecd,inflow
France,2016,3197,oecd,inflow
France,2017,3446,oecd,inflow
France,2018,3400,oecd,inflow
France,2019,3647,oecd,inflow
France,2020,3384,oecd,inflow
France,2021,4024,oecd,inflow
France,2022,3815,oecd,inflow
France,2015,384,oecd,asylum_inflow
France,2016,397,oecd,asylum_inflow
France,2017,605,oecd,asylum_inflow
France,2018,1020,oecd,asylum_inflow
France,2019,1290,oecd,asylum_inflow
France,2020,855,oecd,asylum_inflow
France,2021,975,oecd,asylum_inflow
Germany,2015,3189,oecd,inflow
Germany,2016,3109,oecd,inflow
Germany,2017,2583,oecd,inflow
Germany,2018,3790,oecd,inflow
Germany,2019,4228,oecd,inflow
Germany,2020,1889,oecd,inflow
Germany,2021,1978,oecd,inflow
Germany,2015,980,oecd,outflow
Germany,2016,1301,oecd,outflow
Germany,2017,1095,oecd,outflow
Germany,2018,1251,oecd,outflow
Germany,2019,1543,oecd,outflow
Germany,2020,1218,oecd,outflow
Germany,2021,977,oecd,outflow
Germany,2015,964,oecd,asylum_inflow
Germany,2016,1351,oecd,asylum_inflow
Germany,2017,1100,oecd,asylum_inflow
Germany,2018,920,oecd,asylum_inflow
Germany,2019,815,oecd,asylum_inflow
Germany,2020,475,oecd,asylum_inflow
Germany,2021,385,oecd,asylum_inflow
Greece,2015,155,oecd,asylum_inflow
Greece,2016,211,oecd,asylum_inflow
Greece,2017,455,oecd,asylum_inflow
Greece,2018,1035,oecd,asylum_inflow
Greece,2019,855,oecd,asylum_inflow
Greece,2020,395,oecd,asylum_inflow
Greece,2021,190,oecd,asylum_inflow
Hungary,2015,63,oecd,inflow
Hungary,2016,95,oecd,inflow
Hungary,2017,80,oecd,inflow
Hungary,2018,40,oecd,inflow
Hungary,2019,32,oecd,inflow
Hungary,2020,13,oecd,inflow
Hungary,2021,17,oecd,inflow
Hungary,2015,25,oecd,outflow
Hungary,2016,22,oecd,outflow
Hungary,2017,41,oecd,outflow
Hungary,2018,13,oecd,outflow
Hungary,2019,3,oecd,outflow
Hungary,2020,59,oecd,outflow
Hungary,2021,38,oecd,outflow
Hungary,2015,628,oecd,asylum_inflow
Hungary,2016,9,oecd,asylum_inflow
Hungary,2017,10,oecd,asylum_inflow
Hungary,2018,0,oecd,asylum_inflow
Hungary,2019,0,oecd,asylum_inflow
Hungary,2020,0,oecd,asylum_inflow
Hungary,2021,0,oecd,asylum_inflow
Iceland,2015,3,oecd,inflow
Iceland,2016,4,oecd,inflow
Iceland,2017,1,oecd,inflow
Iceland,2018,0,oecd,inflow
Iceland,2019,7,oecd,inflow
Iceland,2020,6,oecd,inflow
Iceland,2021,3,oecd,inflow
Iceland,2015,2,oecd,outflow
Iceland,2016,1,oecd,outflow
Iceland,2017,3,oecd,outflow
Iceland,2018,1,oecd,outflow
Iceland,2019,1,oecd,outflow
Iceland,2020,4,oecd,outflow
Iceland,2021,0,oecd,outflow
Iceland,2015,0,oecd,asylum_inflow
Iceland,2016,1,oecd,asylum_inflow
Iceland,2018,0,oecd,asylum_inflow
Iceland,2019,0,oecd,asylum_inflow
Iceland,2020,0,oecd,asylum_inflow
Iceland,2021,0,oecd,asylum_inflow
Ireland,2015,0,oecd,asylum_inflow
Ireland,2016,4,oecd,asylum_inflow
Ireland,2017,20,oecd,asylum_inflow
Ireland,2018,25,oecd,asylum_inflow
Ireland,2019,30,oecd,asylum_inflow
Ireland,2020,10,oecd,asylum_inflow
Ireland,2021,5,oecd,asylum_inflow
Italy,2015,821,oecd,inflow
Italy,2016,1242,oecd,inflow
Italy,2017,2006,oecd,inflow
Italy,2018,1700,oecd,inflow
Italy,2019,991,oecd,inflow
Italy,2020,685,oecd,inflow
Italy,2021,818,oecd,inflow
Italy,2015,68,oecd,outflow
Italy,2016,55,oecd,outflow
Italy,2017,88,oecd,outflow
Italy,2018,67,oecd,outflow
Italy,2019,179,oecd,outflow
Italy,2020,92,oecd,outflow
Italy,2021,196,oecd,outflow
Italy,2015,332,oecd,asylum_inflow
Italy,2016,1989,oecd,asylum_inflow
Italy,2017,1995,oecd,asylum_inflow
Italy,2018,495,oecd,asylum_inflow
Italy,2019,175,oecd,asylum_inflow
Italy,2020,185,oecd,asylum_inflow
Italy,2021,335,oecd,asylum_inflow
Japan,2015,131,oecd,inflow
Japan,2016,138,oecd,inflow
Japan,2017,209,oecd,inflow
Japan,2018,136,oecd,inflow
Japan,2019,211,oecd,inflow
Japan,2020,42,oecd,inflow
Japan,2021,22,oecd,inflow
Japan,2015,121,oecd,outflow
Japan,2016,104,oecd,outflow
Japan,2017,140,oecd,outflow
Japan,2018,110,oecd,outflow
Japan,2019,161,oecd,outflow
Japan,2020,35,oecd,outflow
Japan,2021,41,oecd,outflow
Japan,2015,51,oecd,asylum_inflow
Japan,2016,66,oecd,asylum_inflow
Japan,2017,98,oecd,asylum_inflow
Japan,2018,203,oecd,asylum_inflow
Japan,2019,234,oecd,asylum_inflow
Japan,2020,0,oecd,asylum_inflow
Japan,2021,0,oecd,asylum_inflow
Korea,2015,157,oecd,inflow
Korea,2016,252,oecd,inflow
Korea,2017,240,oecd,inflow
Korea,2018,174,oecd,inflow
Korea,2019,105,oecd,inflow
Korea,2020,53,oecd,inflow
Korea,2021,71,oecd,inflow
Korea,2015,102,oecd,outflow
Korea,2016,139,oecd,outflow
Korea,2017,147,oecd,outflow
Korea,2018,145,oecd,outflow
Korea,2019,202,oecd,outflow
Korea,2020,117,oecd,outflow
Korea,2021,108,oecd,outflow
Korea,2015,70,oecd,asylum_inflow
Korea,2016,121,oecd,asylum_inflow
Korea,2017,151,oecd,asylum_inflow
Korea,2018,185,oecd,asylum_inflow
Korea,2019,120,oecd,asylum_inflow
Korea,2020,62,oecd,asylum_inflow
Korea,2021,48,oecd,asylum_inflow
Luxembourg,2015,77,oecd,inflow
Luxembourg,2016,70,oecd,inflow
Luxembourg,2017,114,oecd,inflow
Luxembourg,2018,155,oecd,inflow
Luxembourg,2019,130,oecd,inflow
Luxembourg,2020,125,oecd,inflow
Luxembourg,2021,192,oecd,inflow
Luxembourg,2015,24,oecd,outflow
Luxembourg,2016,14,oecd,outflow
Luxembourg,2017,23,oecd,outflow
Luxembourg,2018,40,oecd,outflow
Luxembourg,2019,83,oecd,outflow
Luxembourg,2020,27,oecd,outflow
Luxembourg,2021,55,oecd,outflow
Luxembourg,2015,0,oecd,asylum_inflow
Luxembourg,2016,18,oecd,asylum_inflow
Luxembourg,2017,15,oecd,asylum_inflow
