destination_country,destination_code,origin_country,origin_code,year,total_migrants,male_migrants,female_migrants,source,dataset,measure_type,period
Zambia,894,Cameroon,120,2015,214.0,114.0,100.0,UN DESA,international_migrant_stock,stock,pre_covid
Chad,148,Cameroon,120,2015,30702.0,13908.0,16794.0,UN DESA,international_migrant_stock,stock,pre_covid
Congo,178,Cameroon,120,2015,11300.0,6727.0,4573.0,UN DESA,international_migrant_stock,stock,pre_covid
Equatorial Guinea,226,Cameroon,120,2015,798.0,535.0,263.0,UN DESA,international_migrant_stock,stock,pre_covid
Gabon,266,Cameroon,120,2015,46269.0,26905.0,19364.0,UN DESA,international_migrant_stock,stock,pre_covid
Egypt,818,Cameroon,120,2015,42.0,22.0,20.0,UN DESA,international_migrant_stock,stock,pre_covid
Tunisia,788,Cameroon,120,2015,715.0,369.0,346.0,UN DESA,international_migrant_stock,stock,pre_covid
Namibia,516,Cameroon,120,2015,115.0,95.0,20.0,UN DESA,international_migrant_stock,stock,pre_covid
South Africa,710,Cameroon,120,2015,5747.0,3815.0,1932.0,UN DESA,international_migrant_stock,stock,pre_covid
Ghana,288,Cameroon,120,2015,116.0,77.0,39.0,UN DESA,international_migrant_stock,stock,pre_covid
Guinea,324,Cameroon,120,2015,196.0,142.0,54.0,UN DESA,international_migrant_stock,stock,pre_covid
Mali,466,Cameroon,120,2015,1778.0,907.0,871.0,UN DESA,international_migrant_stock,stock,pre_covid
Mauritania,478,Cameroon,120,2015,392.0,256.0,136.0,UN DESA,international_migrant_stock,stock,pre_covid
Niger,562,Cameroon,120,2015,417.0,183.0,234.0,UN DESA,international_migrant_stock,stock,pre_covid
Nigeria,566,Cameroon,120,2015,26893.0,14755.0,12138.0,UN DESA,international_migrant_stock,stock,pre_covid
Senegal,686,Cameroon,120,2015,1014.0,403.0,611.0,UN DESA,international_migrant_stock,stock,pre_covid
Togo,768,Cameroon,120,2015,697.0,446.0,251.0,UN DESA,international_migrant_stock,stock,pre_covid
China,156,Cameroon,120,2015,988.0,548.0,440.0,UN DESA,international_migrant_stock,stock,pre_covid
Japan,392,Cameroon,120,2015,525.0,395.0,130.0,UN DESA,international_migrant_stock,stock,pre_covid
India,356,Cameroon,120,2015,25.0,14.0,11.0,UN DESA,international_migrant_stock,stock,pre_covid
Cyprus,196,Cameroon,120,2015,54.0,30.0,24.0,UN DESA,international_migrant_stock,stock,pre_covid
Bulgaria,100,Cameroon,120,2015,13.0,11.0,2.0,UN DESA,international_migrant_stock,stock,pre_covid
Hungary,348,Cameroon,120,2015,249.0,190.0,59.0,UN DESA,international_migrant_stock,stock,pre_covid
Slovakia,703,Cameroon,120,2015,10.0,8.0,2.0,UN DESA,international_migrant_stock,stock,pre_covid
Denmark*,208,Cameroon,120,2015,737.0,444.0,293.0,UN DESA,international_migrant_stock,stock,pre_covid
Estonia,233,Cameroon,120,2015,16.0,13.0,3.0,UN DESA,international_migrant_stock,stock,pre_covid
Finland*,246,Cameroon,120,2015,759.0,477.0,282.0,UN DESA,international_migrant_stock,stock,pre_covid
Iceland,352,Cameroon,120,2015,7.0,5.0,2.0,UN DESA,international_migrant_stock,stock,pre_covid
Latvia,428,Cameroon,120,2015,1.0,1.0,,UN DESA,international_migrant_stock,stock,pre_covid
Lithuania,440,Cameroon,120,2015,7.0,4.0,3.0,UN DESA,international_migrant_stock,stock,pre_covid
Norway*,578,Cameroon,120,2015,677.0,365.0,312.0,UN DESA,international_migrant_stock,stock,pre_covid
Greece,300,Cameroon,120,2015,460.0,233.0,227.0,UN DESA,international_migrant_stock,stock,pre_covid
Italy,380,Cameroon,120,2015,10856.0,5451.0,5405.0,UN DESA,international_migrant_stock,stock,pre_covid
