destination_country,origin_country,year,value,source,dataset,measure_type,period,analysis_question
Belgium,Cameroon,2015,738,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Bulgaria,Cameroon,2015,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Czechia,Cameroon,2015,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Denmark,Cameroon,2015,14,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Germany,Cameroon,2015,1081,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Estonia,Cameroon,2015,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Ireland,Cameroon,2015,79,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Greece,Cameroon,2015,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Spain,Cameroon,2015,135,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
France,Cameroon,2015,3125,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Croatia,Cameroon,2015,3,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Italy,Cameroon,2015,521,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Cyprus,Cameroon,2015,1,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Latvia,Cameroon,2015,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Lithuania,Cameroon,2015,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Luxembourg,Cameroon,2015,6,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Hungary,Cameroon,2015,2,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Malta,Cameroon,2015,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Netherlands,Cameroon,2015,95,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Austria,Cameroon,2015,32,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Poland,Cameroon,2015,5,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Portugal,Cameroon,2015,5,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Romania,Cameroon,2015,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Slovenia,Cameroon,2015,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Slovakia,Cameroon,2015,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Finland,Cameroon,2015,48,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Sweden,Cameroon,2015,93,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Iceland,Cameroon,2015,1,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Liechtenstein,Cameroon,2015,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Norway,Cameroon,2015,27,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Switzerland,Cameroon,2015,156,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
United Kingdom,Cameroon,2015,471,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
North Macedonia,Cameroon,2015,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Georgia,Cameroon,2015,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Albania,Cameroon,2015,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Türkiye,Cameroon,2015,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Ukraine,Cameroon,2015,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Belarus,Cameroon,2015,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Russia,Cameroon,2015,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Armenia,Cameroon,2015,0,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
Belgium,Cameroon,2016,845,eurostat,eurostat_citizenship_acquisition,citizenship_acquisition,pre_covid,Q3_post_arrival_trajectories
