destination_country,origin_country,year,value,source,dataset,measure_type,period,analysis_question,reason,sub_reason
Belgium,Cameroon,2015,695,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Bulgaria,Cameroon,2015,0,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Czechia,Cameroon,2015,15,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Denmark,Cameroon,2015,55,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Germany,Cameroon,2015,748,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Estonia,Cameroon,2015,2,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Ireland,Cameroon,2015,8,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Greece,Cameroon,2015,4,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Spain,Cameroon,2015,181,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
France,Cameroon,2015,2196,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Croatia,Cameroon,2015,1,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Italy,Cameroon,2015,330,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Cyprus,Cameroon,2015,10,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Latvia,Cameroon,2015,2,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Lithuania,Cameroon,2015,0,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Luxembourg,Cameroon,2015,65,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Hungary,Cameroon,2015,26,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Malta,Cameroon,2015,1,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Netherlands,Cameroon,2015,36,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Austria,Cameroon,2015,19,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Poland,Cameroon,2015,2,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Portugal,Cameroon,2015,16,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Romania,Cameroon,2015,9,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Slovenia,Cameroon,2015,1,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Slovakia,Cameroon,2015,1,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Finland,Cameroon,2015,68,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Sweden,Cameroon,2015,114,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Iceland,Cameroon,2015,0,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Liechtenstein,Cameroon,2015,0,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Norway,Cameroon,2015,29,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Switzerland,Cameroon,2015,144,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
United Kingdom,Cameroon,2015,221,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Serbia,Cameroon,2015,0,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Belgium,Cameroon,2016,610,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Bulgaria,Cameroon,2016,0,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Czechia,Cameroon,2016,9,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Denmark,Cameroon,2016,61,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Germany,Cameroon,2016,686,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Estonia,Cameroon,2016,1,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Ireland,Cameroon,2016,11,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Greece,Cameroon,2016,3,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Spain,Cameroon,2016,180,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
France,Cameroon,2016,2088,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Croatia,Cameroon,2016,1,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Italy,Cameroon,2016,446,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Cyprus,Cameroon,2016,8,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Latvia,Cameroon,2016,1,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Lithuania,Cameroon,2016,0,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Luxembourg,Cameroon,2016,52,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Hungary,Cameroon,2016,33,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Malta,Cameroon,2016,1,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Netherlands,Cameroon,2016,35,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Austria,Cameroon,2016,22,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Poland,Cameroon,2016,2,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Portugal,Cameroon,2016,11,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Romania,Cameroon,2016,2,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Slovenia,Cameroon,2016,0,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Slovakia,Cameroon,2016,0,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Finland,Cameroon,2016,69,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Sweden,Cameroon,2016,112,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Iceland,Cameroon,2016,1,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Liechtenstein,Cameroon,2016,0,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Norway,Cameroon,2016,18,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Switzerland,Cameroon,2016,127,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
United Kingdom,Cameroon,2016,218,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Serbia,Cameroon,2016,0,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Belgium,Cameroon,2017,600,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Bulgaria,Cameroon,2017,2,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Czechia,Cameroon,2017,9,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Denmark,Cameroon,2017,78,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Germany,Cameroon,2017,701,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Estonia,Cameroon,2017,2,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Ireland,Cameroon,2017,8,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Greece,Cameroon,2017,4,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Spain,Cameroon,2017,194,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
France,Cameroon,2017,2434,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Croatia,Cameroon,2017,1,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Italy,Cameroon,2017,507,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Cyprus,Cameroon,2017,8,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Latvia,Cameroon,2017,0,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Lithuania,Cameroon,2017,0,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Luxembourg,Cameroon,2017,65,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Hungary,Cameroon,2017,19,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Malta,Cameroon,2017,2,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Netherlands,Cameroon,2017,48,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
Austria,Cameroon,2017,19,eurostat,eurostat_first_permits,permit,pre_covid,Q2_entry_reasons,family,not_applicable
