destination_country,origin_country,year,value,source,dataset,measure_type,period,analysis_question
Belgium,Cameroon,2015,977,eurostat,eurostat_long_term_residents,long_term_resident,pre_covid,Q3_post_arrival_trajectories
Bulgaria,Cameroon,2015,6,eurostat,eurostat_long_term_residents,long_term_resident,pre_covid,Q3_post_arrival_trajectories
Czechia,Cameroon,2015,53,eurostat,eurostat_long_term_residents,long_term_resident,pre_covid,Q3_post_arrival_trajectories
Denmark,Cameroon,2015,121,eurostat,eurostat_long_term_residents,long_term_resident,pre_covid,Q3_post_arrival_trajectories
Germany,Cameroon,2015,80,eurostat,eurostat_long_term_residents,long_term_resident,pre_covid,Q3_post_arrival_trajectories
Estonia,Cameroon,2015,0,eurostat,eurostat_long_term_residents,long_term_resident,pre_covid,Q3_post_arrival_trajectories
Ireland,Cameroon,2015,0,eurostat,eurostat_long_term_residents,long_term_resident,pre_covid,Q3_post_arrival_trajectories
Greece,Cameroon,2015,15,eurostat,eurostat_long_term_residents,long_term_resident,pre_covid,Q3_post_arrival_trajectories
Spain,Cameroon,2015,2176,eurostat,eurostat_long_term_residents,long_term_resident,pre_covid,Q3_post_arrival_trajectories
France,Cameroon,2015,28272,eurostat,eurostat_long_term_residents,long_term_resident,pre_covid,Q3_post_arrival_trajectories
Croatia,Cameroon,2015,7,eurostat,eurostat_long_term_residents,long_term_resident,pre_covid,Q3_post_arrival_trajectories
Italy,Cameroon,2015,7694,eurostat,eurostat_long_term_residents,long_term_resident,pre_covid,Q3_post_arrival_trajectories
Cyprus,Cameroon,2015,0,eurostat,eurostat_long_term_residents,long_term_resident,pre_covid,Q3_post_arrival_trajectories
Latvia,Cameroon,2015,0,eurostat,eurostat_long_term_residents,long_term_resident,pre_covid,Q3_post_arrival_trajectories
Lithuania,Cameroon,2015,0,eurostat,eurostat_long_term_residents,long_term_resident,pre_covid,Q3_post_arrival_trajectories
Luxembourg,Cameroon,2015,104,eurostat,eurostat_long_term_residents,long_term_resident,pre_covid,Q3_post_arrival_trajectories
Hungary,Cameroon,2015,4,eurostat,eurostat_long_term_residents,long_term_resident,pre_covid,Q3_post_arrival_trajectories
