destination_country,origin_country,year,value,source,dataset,measure_type,period,analysis_question
Belgium,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Bulgaria,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Czechia,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Denmark,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Germany,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Estonia,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Ireland,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Greece,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Spain,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
France,Cameroon,2020,2410,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Croatia,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Italy,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Cyprus,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Latvia,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Lithuania,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Luxembourg,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Hungary,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Malta,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Netherlands,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Austria,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Poland,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Portugal,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Romania,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Slovenia,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Slovakia,Cameroon,2020,0,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Finland,Cameroon,2020,36,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
Sweden,Cameroon,2020,24,eurostat,eurostat_status_changes,status_change,covid,Q3_post_arrival_trajectories
