destination_country,origin_country,year,value,source,dataset,measure_type,period,analysis_question,total_migrants,male_migrants,female_migrants,destination_code,origin_code
Zambia,Cameroon,2015,214.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,214.0,114.0,100.0,894,120
Chad,Cameroon,2015,30702.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,30702.0,13908.0,16794.0,148,120
Congo,Cameroon,2015,11300.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,11300.0,6727.0,4573.0,178,120
Equatorial Guinea,Cameroon,2015,798.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,798.0,535.0,263.0,226,120
Gabon,Cameroon,2015,46269.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,46269.0,26905.0,19364.0,266,120
Egypt,Cameroon,2015,42.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,42.0,22.0,20.0,818,120
Tunisia,Cameroon,2015,715.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,715.0,369.0,346.0,788,120
Namibia,Cameroon,2015,115.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,115.0,95.0,20.0,516,120
South Africa,Cameroon,2015,5747.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,5747.0,3815.0,1932.0,710,120
Ghana,Cameroon,2015,116.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,116.0,77.0,39.0,288,120
Guinea,Cameroon,2015,196.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,196.0,142.0,54.0,324,120
Mali,Cameroon,2015,1778.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,1778.0,907.0,871.0,466,120
Mauritania,Cameroon,2015,392.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,392.0,256.0,136.0,478,120
Niger,Cameroon,2015,417.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,417.0,183.0,234.0,562,120
Nigeria,Cameroon,2015,26893.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,26893.0,14755.0,12138.0,566,120
Senegal,Cameroon,2015,1014.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,1014.0,403.0,611.0,686,120
Togo,Cameroon,2015,697.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,697.0,446.0,251.0,768,120
China,Cameroon,2015,988.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,988.0,548.0,440.0,156,120
Japan,Cameroon,2015,525.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,525.0,395.0,130.0,392,120
India,Cameroon,2015,25.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,25.0,14.0,11.0,356,120
Cyprus,Cameroon,2015,54.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,54.0,30.0,24.0,196,120
Bulgaria,Cameroon,2015,13.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,13.0,11.0,2.0,100,120
Hungary,Cameroon,2015,249.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,249.0,190.0,59.0,348,120
Slovakia,Cameroon,2015,10.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,10.0,8.0,2.0,703,120
Denmark,Cameroon,2015,737.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,737.0,444.0,293.0,208,120
Estonia,Cameroon,2015,16.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,16.0,13.0,3.0,233,120
Finland,Cameroon,2015,759.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,759.0,477.0,282.0,246,120
Iceland,Cameroon,2015,7.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,7.0,5.0,2.0,352,120
Latvia,Cameroon,2015,1.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,1.0,1.0,,428,120
Lithuania,Cameroon,2015,7.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,7.0,4.0,3.0,440,120
Norway,Cameroon,2015,677.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,677.0,365.0,312.0,578,120
Greece,Cameroon,2015,460.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,460.0,233.0,227.0,300,120
Italy,Cameroon,2015,10856.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,10856.0,5451.0,5405.0,380,120
Portugal,Cameroon,2015,73.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,73.0,48.0,25.0,620,120
Slovenia,Cameroon,2015,17.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,17.0,16.0,1.0,705,120
Belgium,Cameroon,2015,16560.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,16560.0,7873.0,8687.0,56,120
France,Cameroon,2015,97288.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,97288.0,39412.0,57876.0,250,120
Liechtenstein,Cameroon,2015,5.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,5.0,4.0,1.0,438,120
Luxembourg,Cameroon,2015,59.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,59.0,28.0,31.0,442,120
Dominican Republic,Cameroon,2015,23.0,undesa,undesa_destinations,stock,pre_covid,Q1_destinations,23.0,12.0,11.0,214,120
