destination_country,value
France,27689.0
Belgium,10628.0
Germany,9694.0
Italy,5011.0
United Kingdom,2343.0
Spain,2244.0
Switzerland,1614.0
Sweden,973.0
Netherlands,718.0
Finland,559.0
Ireland,480.0
Norway,230.0
Denmark,213.0
Austria,206.0
Luxembourg,174.0
Portugal,97.0
Poland,67.0
Hungary,33.0
Cyprus,20.0
Greece,16.0
Croatia,12.0
Romania,11.0
Slovakia,7.0
Iceland,6.0
Estonia,5.0
Czechia,5.0
Malta,5.0
Bulgaria,3.0
Slovenia,3.0
Albania,2.0
Liechtenstein,1.0
Belarus,0.0
Armenia,0.0
Lithuania,0.0
Georgia,0.0
Latvia,0.0
Russia,0.0
North Macedonia,0.0
Türkiye,0.0
Ukraine,0.0
