destination_country,value
France,326974.0
Italy,73931.0
Spain,42472.0
Belgium,40089.0
Germany,28741.0
United Kingdom,19903.0
Switzerland,18858.0
Sweden,5567.0
Finland,3288.0
Luxembourg,1936.0
Denmark,1558.0
Poland,1234.0
Austria,1122.0
Netherlands,881.0
Hungary,796.0
Norway,665.0
Czechia,650.0
Romania,205.0
Greece,202.0
Portugal,167.0
Slovakia,130.0
Bulgaria,114.0
Croatia,79.0
Slovenia,65.0
Lithuania,53.0
Cyprus,47.0
Iceland,21.0
Malta,19.0
Estonia,14.0
Liechtenstein,12.0
Serbia,7.0
Ireland,3.0
Latvia,0.0
