measure_type,sub_reason,year,value
asylum_inflow,asylum,2015,4331.0
asylum_inflow,asylum,2016,6771.0
asylum_inflow,asylum,2017,8444.0
asylum_inflow,asylum,2018,6857.0
asylum_inflow,asylum,2019,7896.0
asylum_inflow,asylum,2020,4630.0
asylum_inflow,asylum,2021,3606.0
seasonal_worker_inflow,seasonal_work,2015,0.0
seasonal_worker_inflow,seasonal_work,2016,0.0
seasonal_worker_inflow,seasonal_work,2017,2.0
seasonal_worker_inflow,seasonal_work,2018,2.0
seasonal_worker_inflow,seasonal_work,2019,4.0
seasonal_worker_inflow,seasonal_work,2020,12.0
seasonal_worker_inflow,seasonal_work,2021,11.0
worker_inflow,work,2015,442.0
worker_inflow,work,2016,544.0
worker_inflow,work,2017,652.0
worker_inflow,work,2018,677.0
worker_inflow,work,2019,62.0
worker_inflow,work,2020,41.0
worker_inflow,work,2021,66.0
worker_inflow,work,2022,54.0
