destination_country,2015,2020,2024,change_2015_2024,pct_change_2015_2024
France,97288.0,114528.0,127995.0,30707.0,31.562988241098594
Nigeria,26893.0,52489.0,56288.0,29395.0,109.30353623619528
Canada,18062.0,27172.0,43662.0,25600.0,141.73402723950835
Belgium,16560.0,22683.0,30634.0,14074.0,84.987922705314
Chad,30702.0,35635.0,40472.0,9770.0,31.82203113803661
Gabon,46269.0,50906.0,54949.0,8680.0,18.759860813935898
Italy,10856.0,15250.0,16244.0,5388.0,49.63154016212233
Cyprus,54.0,1885.0,2001.0,1947.0,3605.5555555555557
Luxembourg,59.0,1234.0,1425.0,1366.0,2315.2542372881358
Greece,460.0,1545.0,1641.0,1181.0,256.7391304347826
